0	0	1	0
0.001	0.01	0.99928	9.9928e-06
0.002	0.0198928	0.998838	2.98358e-05
0.003	0.0296822	0.99867	5.9399e-05
0.004	0.0393721	0.998774	9.85645e-05
0.005	0.0489661	0.999146	0.000147226
0.006	0.0584679	0.999784	0.000205289
0.007	0.0678811	1.00068	0.000272669
0.008	0.0772091	1.00185	0.000349293
0.009	0.0864555	1.00326	0.0004351
0.01	0.0956236	1.00494	0.000530035
0.011	0.104717	1.00687	0.000634058
0.012	0.113738	1.00904	0.000747134
0.013	0.122691	1.01147	0.00086924
0.014	0.131579	1.01414	0.00100036
0.015	0.140405	1.01706	0.00114049
0.016	0.149171	1.02022	0.00128964
0.017	0.157882	1.02362	0.00144781
0.018	0.166539	1.02726	0.00161503
0.019	0.175146	1.03114	0.00179132
0.02	0.183706	1.03525	0.00197673
0.021	0.192222	1.03959	0.00217129
0.022	0.200695	1.04417	0.00237506
0.023	0.20913	1.04898	0.0025881
0.024	0.217529	1.05403	0.00281048
0.025	0.225894	1.0593	0.00304227
0.026	0.234228	1.06479	0.00328356
0.027	0.242533	1.07052	0.00353445
0.028	0.250813	1.07647	0.00379501
0.029	0.25907	1.08265	0.00406537
0.03	0.267306	1.08905	0.00434564
0.031	0.275523	1.09567	0.00463594
0.032	0.283725	1.10252	0.00493639
0.033	0.291912	1.10959	0.00524713
0.034	0.300089	1.11688	0.0055683
0.035	0.308257	1.12439	0.00590005
0.036	0.316419	1.13213	0.00624254
0.037	0.324576	1.14008	0.00659594
0.038	0.332731	1.14826	0.00696041
0.039	0.340886	1.15665	0.00733614
0.04	0.349044	1.16526	0.0077233
0.041	0.357206	1.1741	0.0081221
0.042	0.365375	1.18315	0.00853273
0.043	0.373552	1.19242	0.00895541
0.044	0.381741	1.20192	0.00939035
0.045	0.389943	1.21163	0.00983778
0.046	0.39816	1.22156	0.0102979
0.047	0.406394	1.23172	0.010771
0.048	0.414647	1.24209	0.0112573
0.049	0.422921	1.25268	0.0117571
0.05	0.431219	1.2635	0.0122706
0.051	0.439542	1.27454	0.0127981
0.052	0.447892	1.2858	0.0133399
0.053	0.456271	1.29728	0.0138962
0.054	0.464681	1.30899	0.0144674
0.055	0.473124	1.32092	0.0150538
0.056	0.481602	1.33308	0.0156557
0.057	0.490117	1.34546	0.0162733
0.058	0.49867	1.35807	0.0169072
0.059	0.507264	1.37091	0.0175575
0.06	0.515901	1.38397	0.0182247
0.061	0.524582	1.39727	0.0189091
0.062	0.533308	1.41079	0.019611
0.063	0.542083	1.42455	0.0203309
0.064	0.550908	1.43854	0.0210692
0.065	0.559784	1.45276	0.0218263
0.066	0.568714	1.46722	0.0226025
0.067	0.577699	1.48192	0.0233983
0.068	0.586741	1.49685	0.0242142
0.069	0.595842	1.51202	0.0250506
0.07	0.605004	1.52744	0.0259079
0.071	0.614229	1.54309	0.0267866
0.072	0.623517	1.55899	0.0276872
0.073	0.632872	1.57513	0.0286102
0.074	0.642295	1.59152	0.0295562
0.075	0.651787	1.60816	0.0305255
0.076	0.661351	1.62505	0.0315189
0.077	0.670988	1.64219	0.0325367
0.078	0.6807	1.65959	0.0335796
0.079	0.690489	1.67724	0.0346482
0.08	0.700356	1.69515	0.035743
0.081	0.710304	1.71332	0.0368647
0.082	0.720334	1.73175	0.0380138
0.083	0.730448	1.75044	0.039191
0.084	0.740648	1.7694	0.040397
0.085	0.750936	1.78862	0.0416324
0.086	0.761313	1.80812	0.042898
0.087	0.771781	1.82789	0.0441943
0.088	0.782342	1.84793	0.0455222
0.089	0.792998	1.86825	0.0468823
0.09	0.80375	1.88885	0.0482754
0.091	0.814601	1.90973	0.0497024
0.092	0.825553	1.9309	0.0511639
0.093	0.836606	1.95235	0.0526608
0.094	0.847763	1.97409	0.0541939
0.095	0.859027	1.99612	0.0557641
0.096	0.870398	2.01845	0.0573723
0.097	0.881878	2.04107	0.0590193
0.098	0.89347	2.06399	0.060706
0.099	0.905175	2.08722	0.0624334
0.1	0.916996	2.11075	0.0642025
0.101	0.928933	2.13459	0.0660142
0.102	0.94099	2.15874	0.0678695
0.103	0.953167	2.18321	0.0697695
0.104	0.965468	2.20799	0.0717152
0.105	0.977893	2.23309	0.0737076
0.106	0.990445	2.25852	0.075748
0.107	1.00313	2.28427	0.0778374
0.108	1.01594	2.31036	0.0799771
0.109	1.02888	2.33677	0.082168
0.11	1.04196	2.36352	0.0844116
0.111	1.05518	2.39062	0.086709
0.112	1.06853	2.41805	0.0890616
0.113	1.08203	2.44583	0.0914705
0.114	1.09566	2.47397	0.0939373
0.115	1.10945	2.50245	0.0964631
0.116	1.12338	2.5313	0.0990495
0.117	1.13746	2.5605	0.101698
0.118	1.15169	2.59007	0.10441
0.119	1.16607	2.62001	0.107186
0.12	1.18061	2.65032	0.110029
0.121	1.19531	2.68101	0.112941
0.122	1.21016	2.71207	0.115921
0.123	1.22518	2.74352	0.118974
0.124	1.24037	2.77536	0.122099
0.125	1.25572	2.8076	0.125299
0.126	1.27124	2.84022	0.128575
0.127	1.28692	2.87325	0.13193
0.128	1.30279	2.90668	0.135365
0.129	1.31883	2.94053	0.138882
0.13	1.33504	2.97478	0.142483
0.131	1.35144	3.00945	0.14617
0.132	1.36802	3.04455	0.149946
0.133	1.38479	3.08007	0.153811
0.134	1.40174	3.11602	0.157769
0.135	1.41888	3.15241	0.161821
0.136	1.43622	3.18924	0.16597
0.137	1.45375	3.22652	0.170218
0.138	1.47148	3.26424	0.174567
0.139	1.4894	3.30242	0.17902
0.14	1.50753	3.34106	0.18358
